#{"t_start": 1644553171.7305636, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
1046,481,1699.904949
252,106,1700.186827
619,296,1701.373139
634,322,1702.364995
1344,759,1705.086988
1429,726,1707.575107
605,440,1709.052654
1687,1144,1713.343626
634,298,1714.355621
243,120,1714.827131
601,366,1716.113318
1051,581,1718.348347
1027,905,1721.448059
1045,573,1723.390226
1035,729,1726.291742
1338,555,1728.109225
1318,697,1730.681574
626,298,1731.846133
1351,643,1734.093872
606,288,1735.113878
1337,693,1737.495348
623,354,1738.643506
611,256,1739.703331
1343,640,1741.818688
1042,462,1743.395476
1047,509,1745.79741
1047,527,1749.041106
1337,786,1751.675511
610,258,1752.723721
606,274,1753.564144
611,252,1754.417018
616,280,1755.416883
620,310,1756.578993
235,124,1757.042349
1313,764,1759.57251
1322,733,1762.211948
249,108,1762.797655
1316,729,1765.314763
1051,447,1766.797384
636,326,1767.797709
1049,495,1769.791032
727,520,1771.430278
252,106,1771.84695
1050,487,1773.397056
1047,520,1775.414438
1159,568,1777.371605
235,124,1777.92313
818,502,1779.508347
249,110,1779.93172
1035,715,1782.411951
1046,536,1784.32007
245,110,1784.615281
620,338,1785.799698
1433,670,1788.14716
250,116,1788.575514
606,270,1789.491089
1693,944,1792.660743
1045,556,1794.476993
786,518,1796.432008
1332,997,1800.202325
808,710,1802.525315
1318,800,1805.360418
621,332,1806.54838
1039,682,1808.882413
634,332,1810.057987
1921,994,1813.600138
611,336,1814.621861
1330,588,1816.619241
787,646,1819.041743
251,106,1819.325533
1070,465,1821.204696
1344,672,1823.396201
605,264,1824.288701
610,240,1825.042477
653,292,1826.204538
631,356,1827.433307
1040,621,1829.497334
621,314,1830.600398
252,106,1831.086546
603,370,1832.338854
734,652,1834.54714
653,292,1835.643139
1034,801,1838.405734
606,380,1839.819051
653,294,1840.845913
651,326,1842.155607
1066,507,1843.720535
252,106,1844.135426
1323,783,1846.94021
233,130,1847.313213
1683,932,1850.567388
1700,772,1853.390657
613,256,1854.191519
1929,798,1856.94957
631,302,1857.894829
619,286,1859.168322
236,126,1859.810861
1152,562,1861.557347
780,542,1863.497089
244,112,1863.937989
619,336,1864.974713
615,358,1866.27779
252,106,1866.847238
1424,634,1868.909547
601,312,1869.856624
1687,1010,1873.479439
1045,586,1875.435532
813,602,1877.569578
621,292,1878.632377
637,288,1879.535642
1574,758,1882.416797
1062,618,1884.569838
652,306,1885.633703
650,346,1886.927122
1349,735,1889.280643
1038,844,1892.274888
1324,870,1895.486658
1325,777,1898.32893
237,134,1898.685306
1156,614,1900.850898
611,282,1901.964489
624,330,1903.1259
1926,891,1906.302131
1036,882,1909.822846
247,112,1910.272642
626,364,1911.56951
1041,600,1913.789173
1041,593,1915.847146
1422,736,1918.408201
813,610,1920.705018
630,302,1921.655505
247,114,1922.10523
